Result of k-means clustering...
Object [0] = 0;
Object [1] = 1;
Object [2] = 1;
Object [3] = 0;
Object [4] = 0;
Object [5] = 1;
Object [6] = 1;
Object [7] = 1;
Object [8] = 1;
Object [9] = 1;
Object [10] = 0;
Object [11] = 0;
Object [12] = 0;
Object [13] = 0;
Object [14] = 1;
Object [15] = 0;
Object [16] = 1;
Object [17] = 0;
Object [18] = 1;
Object [19] = 1;
Object [20] = 0;
Object [21] = 1;
Object [22] = 1;
Object [23] = 1;
Object [24] = 0;
Object [25] = 1;
Object [26] = 0;
Object [27] = 0;
Object [28] = 0;
Object [29] = 1;
Object [30] = 0;
Object [31] = 1;
Object [32] = 1;
Object [33] = 0;
Object [34] = 0;
Object [35] = 0;
Object [36] = 1;
Object [37] = 1;
Object [38] = 0;
Object [39] = 0;
Object [40] = 1;
Object [41] = 1;
Object [42] = 1;
Object [43] = 1;
Object [44] = 1;
Object [45] = 1;
Object [46] = 1;
Object [47] = 1;
Object [48] = 1;
Object [49] = 1;
Object [50] = 1;
Object [51] = 1;
Object [52] = 1;
Object [53] = 1;
Object [54] = 1;
Object [55] = 0;
Object [56] = 1;
Object [57] = 1;
Object [58] = 0;
Object [59] = 0;
Object [60] = 0;
Object [61] = 1;
Object [62] = 1;
Object [63] = 1;
Object [64] = 1;
Object [65] = 1;
Object [66] = 0;
Object [67] = 1;
Object [68] = 1;
Object [69] = 0;
Object [70] = 1;
Object [71] = 0;
Object [72] = 0;
Object [73] = 1;
Object [74] = 1;
Object [75] = 1;
Object [76] = 0;
Object [77] = 1;
Object [78] = 1;
Object [79] = 0;
Object [80] = 0;
Object [81] = 0;
Object [82] = 1;
Object [83] = 1;
Object [84] = 0;
Object [85] = 1;
Object [86] = 1;
Object [87] = 1;
Object [88] = 0;
Object [89] = 0;
Object [90] = 1;
Object [91] = 1;
Object [92] = 1;
Object [93] = 1;
Object [94] = 1;
Object [95] = 0;
Object [96] = 1;
Object [97] = 0;
Object [98] = 1;
Object [99] = 1;
Object [100] = 1;
Object [101] = 0;
Object [102] = 0;
Object [103] = 0;
Object [104] = 0;
Object [105] = 0;
Object [106] = 0;
Object [107] = 0;
Object [108] = 0;
Object [109] = 1;
Object [110] = 0;
Object [111] = 1;
Object [112] = 0;
Object [113] = 0;
Object [114] = 1;
Object [115] = 0;
Object [116] = 0;
Object [117] = 0;
Object [118] = 1;
Object [119] = 1;
Object [120] = 0;
Object [121] = 0;
Object [122] = 1;
Object [123] = 0;
Object [124] = 0;
Object [125] = 1;
Object [126] = 1;
Object [127] = 0;
Object [128] = 1;
Object [129] = 1;
Object [130] = 1;
Object [131] = 1;
Object [132] = 0;
Object [133] = 1;
Object [134] = 0;
Object [135] = 0;
Object [136] = 0;
Object [137] = 1;
Object [138] = 1;
Object [139] = 1;
Object [140] = 1;
Object [141] = 0;
Object [142] = 1;
Object [143] = 0;
Object [144] = 1;
Object [145] = 0;
Object [146] = 1;
Object [147] = 0;
Object [148] = 0;
Object [149] = 1;
Object [150] = 1;
Object [151] = 1;
Object [152] = 1;
Object [153] = 0;
Object [154] = 0;
Object [155] = 1;
Object [156] = 1;
Object [157] = 1;
Object [158] = 1;
Object [159] = 0;
Object [160] = 0;
Object [161] = 1;
Object [162] = 1;
Object [163] = 0;
Object [164] = 1;
Object [165] = 1;
Object [166] = 0;
Object [167] = 0;
Object [168] = 0;
Object [169] = 0;
Object [170] = 0;
Object [171] = 1;
Object [172] = 0;
Object [173] = 0;
Object [174] = 1;
Object [175] = 0;
Object [176] = 0;
Object [177] = 1;
Object [178] = 0;
Object [179] = 0;
Object [180] = 1;
Object [181] = 1;
Object [182] = 1;
Object [183] = 1;
Object [184] = 0;
Object [185] = 0;
Object [186] = 0;
Object [187] = 1;
Object [188] = 1;
Object [189] = 1;
Object [190] = 1;
Object [191] = 1;
Object [192] = 1;
Object [193] = 0;
Object [194] = 1;
Object [195] = 0;
Object [196] = 1;
Object [197] = 1;
Object [198] = 1;
Object [199] = 1;
Object [200] = 1;
Object [201] = 1;
Object [202] = 1;
Object [203] = 1;
Object [204] = 1;
Object [205] = 0;
Object [206] = 0;
Object [207] = 1;
Object [208] = 0;
Object [209] = 1;
Object [210] = 1;
Object [211] = 1;
Object [212] = 1;
Object [213] = 1;
Object [214] = 1;
Object [215] = 1;
Object [216] = 0;
Object [217] = 0;
Object [218] = 1;
Object [219] = 1;
Object [220] = 1;
Object [221] = 1;
Object [222] = 0;
Object [223] = 1;
Object [224] = 1;
Object [225] = 1;
Object [226] = 1;
Object [227] = 1;
Object [228] = 0;
Object [229] = 1;
Object [230] = 0;
Object [231] = 0;
Object [232] = 0;
Object [233] = 1;
Object [234] = 1;
Object [235] = 0;
Object [236] = 0;
Object [237] = 1;
Object [238] = 1;
Object [239] = 0;
Object [240] = 0;
Object [241] = 0;
Object [242] = 1;
Object [243] = 1;
Object [244] = 1;
Object [245] = 1;
Object [246] = 1;
Object [247] = 1;
Object [248] = 1;
Object [249] = 0;
Object [250] = 0;
Object [251] = 1;
Object [252] = 1;
Object [253] = 1;
Object [254] = 1;
Object [255] = 1;
Object [256] = 1;
Object [257] = 1;
Object [258] = 1;
Object [259] = 1;
Object [260] = 1;
Object [261] = 0;
Object [262] = 1;
Object [263] = 0;
Object [264] = 0;
Object [265] = 0;
Object [266] = 1;
Object [267] = 1;
Object [268] = 1;
Object [269] = 0;
Object [270] = 0;
Object [271] = 0;
Object [272] = 1;
Object [273] = 1;
Object [274] = 1;
Object [275] = 0;
Object [276] = 1;
Object [277] = 1;
Object [278] = 0;
Object [279] = 1;
Object [280] = 0;
Object [281] = 0;
Object [282] = 0;
Object [283] = 1;
Object [284] = 0;
Object [285] = 0;
Object [286] = 0;
Object [287] = 0;
Object [288] = 1;
Object [289] = 1;
Object [290] = 1;
Object [291] = 1;
Object [292] = 1;
Object [293] = 1;
Object [294] = 0;
Object [295] = 1;
Object [296] = 1;
Object [297] = 1;
Object [298] = 1;
Object [299] = 1;
Object [300] = 1;
Object [301] = 1;
Object [302] = 1;
Object [303] = 1;
Object [304] = 1;
Object [305] = 1;
Object [306] = 0;
Object [307] = 0;
Object [308] = 0;
Object [309] = 1;
Object [310] = 0;
Object [311] = 0;
Object [312] = 0;
Object [313] = 1;
Object [314] = 1;
Object [315] = 0;
Object [316] = 0;
Object [317] = 1;
Object [318] = 1;
Object [319] = 1;
Object [320] = 1;
Object [321] = 0;
Object [322] = 0;
Object [323] = 0;
Object [324] = 0;
Object [325] = 0;
Object [326] = 0;
Object [327] = 1;
Object [328] = 1;
Object [329] = 0;
Object [330] = 0;
Object [331] = 1;
Object [332] = 1;
Object [333] = 0;
Object [334] = 1;
Object [335] = 0;
Object [336] = 1;
Object [337] = 0;
Object [338] = 1;
Object [339] = 0;
Object [340] = 1;
Object [341] = 1;
Object [342] = 1;
Object [343] = 1;
Object [344] = 1;
Object [345] = 1;
Object [346] = 0;
Object [347] = 0;
Object [348] = 1;
Object [349] = 0;
Object [350] = 0;
Object [351] = 0;
Object [352] = 1;
Object [353] = 1;
Object [354] = 1;
Object [355] = 1;
Object [356] = 0;
Object [357] = 1;
Object [358] = 1;
Object [359] = 0;
Object [360] = 0;
Object [361] = 1;
Object [362] = 0;
Object [363] = 1;
Object [364] = 1;
Object [365] = 0;
Object [366] = 0;
Object [367] = 1;
Object [368] = 1;
Object [369] = 0;
Object [370] = 0;
Object [371] = 0;
Object [372] = 1;
Object [373] = 0;
Object [374] = 1;
Object [375] = 0;
Object [376] = 1;
Object [377] = 1;
Object [378] = 1;
Object [379] = 1;
Object [380] = 1;
Object [381] = 1;
Object [382] = 1;
Object [383] = 0;
Object [384] = 0;
Object [385] = 1;
Object [386] = 1;
Object [387] = 1;
Object [388] = 1;
Object [389] = 1;
Object [390] = 1;
Object [391] = 0;
Object [392] = 1;
Object [393] = 0;
Object [394] = 1;
Object [395] = 0;
Object [396] = 1;
Object [397] = 1;
Object [398] = 1;
Object [399] = 1;
Object [400] = 1;
Object [401] = 1;
Object [402] = 0;
Object [403] = 1;
Object [404] = 0;
Object [405] = 1;
Object [406] = 1;
Object [407] = 0;
Object [408] = 0;
Object [409] = 1;
Object [410] = 1;
Object [411] = 0;
Object [412] = 0;
Object [413] = 0;
Object [414] = 0;
Object [415] = 1;
Object [416] = 1;
Object [417] = 0;
Object [418] = 0;
Object [419] = 1;
Object [420] = 1;
Object [421] = 0;
Object [422] = 1;
Object [423] = 0;
Object [424] = 1;
Object [425] = 0;
Object [426] = 0;
Object [427] = 1;
Object [428] = 1;
Object [429] = 1;
Object [430] = 1;
Object [431] = 1;
Object [432] = 1;
Object [433] = 1;
