Result of k-means clustering...
Accuracy of k-means clustering = 0.62667;
Object [0] = 0;
Object [1] = 0;
Object [2] = 0;
Object [3] = 0;
Object [4] = 0;
Object [5] = 0;
Object [6] = 0;
Object [7] = 0;
Object [8] = 0;
Object [9] = 0;
Object [10] = 0;
Object [11] = 0;
Object [12] = 0;
Object [13] = 0;
Object [14] = 0;
Object [15] = 2;
Object [16] = 0;
Object [17] = 0;
Object [18] = 0;
Object [19] = 0;
Object [20] = 0;
Object [21] = 0;
Object [22] = 0;
Object [23] = 0;
Object [24] = 0;
Object [25] = 0;
Object [26] = 0;
Object [27] = 0;
Object [28] = 0;
Object [29] = 0;
Object [30] = 0;
Object [31] = 0;
Object [32] = 0;
Object [33] = 0;
Object [34] = 0;
Object [35] = 0;
Object [36] = 0;
Object [37] = 0;
Object [38] = 0;
Object [39] = 0;
Object [40] = 0;
Object [41] = 0;
Object [42] = 0;
Object [43] = 0;
Object [44] = 0;
Object [45] = 0;
Object [46] = 0;
Object [47] = 0;
Object [48] = 0;
Object [49] = 0;
Object [50] = 2;
Object [51] = 2;
Object [52] = 2;
Object [53] = 0;
Object [54] = 2;
Object [55] = 0;
Object [56] = 2;
Object [57] = 0;
Object [58] = 2;
Object [59] = 0;
Object [60] = 0;
Object [61] = 1;
Object [62] = 0;
Object [63] = 2;
Object [64] = 0;
Object [65] = 2;
Object [66] = 1;
Object [67] = 0;
Object [68] = 0;
Object [69] = 0;
Object [70] = 2;
Object [71] = 0;
Object [72] = 0;
Object [73] = 0;
Object [74] = 2;
Object [75] = 2;
Object [76] = 2;
Object [77] = 2;
Object [78] = 1;
Object [79] = 0;
Object [80] = 0;
Object [81] = 0;
Object [82] = 0;
Object [83] = 1;
Object [84] = 1;
Object [85] = 2;
Object [86] = 2;
Object [87] = 0;
Object [88] = 0;
Object [89] = 0;
Object [90] = 0;
Object [91] = 2;
Object [92] = 0;
Object [93] = 0;
Object [94] = 0;
Object [95] = 0;
Object [96] = 0;
Object [97] = 0;
Object [98] = 0;
Object [99] = 0;
Object [100] = 2;
Object [101] = 1;
Object [102] = 2;
Object [103] = 2;
Object [104] = 2;
Object [105] = 2;
Object [106] = 0;
Object [107] = 2;
Object [108] = 2;
Object [109] = 2;
Object [110] = 2;
Object [111] = 2;
Object [112] = 2;
Object [113] = 1;
Object [114] = 1;
Object [115] = 2;
Object [116] = 2;
Object [117] = 2;
Object [118] = 2;
Object [119] = 0;
Object [120] = 2;
Object [121] = 1;
Object [122] = 2;
Object [123] = 2;
Object [124] = 2;
Object [125] = 2;
Object [126] = 2;
Object [127] = 2;
Object [128] = 2;
Object [129] = 2;
Object [130] = 2;
Object [131] = 2;
Object [132] = 2;
Object [133] = 2;
Object [134] = 0;
Object [135] = 2;
Object [136] = 2;
Object [137] = 2;
Object [138] = 2;
Object [139] = 2;
Object [140] = 2;
Object [141] = 2;
Object [142] = 1;
Object [143] = 2;
Object [144] = 2;
Object [145] = 2;
Object [146] = 1;
Object [147] = 2;
Object [148] = 2;
Object [149] = 1;

